entry_idx,exit_idx,side,entry_price,exit_price,sl,tp,size_usdc,pnl,pnl_pct,exit_reason
102,111,short,64802.33694,63989.839322847576,65234.42804296762,63977.043914064765,1.0,0.011538091302242856,0.011538091302242856,tp
113,122,short,64092.77888,63090.479314292905,64619.4681292277,63077.8637415446,1.0,0.01463826039722329,0.01463826039722329,tp
123,165,short,63154.16664,63715.38722713568,63702.646697796124,62095.10660440777,206.88844885561082,-2.0454062049397344,-0.009886517184761922,sl
174,206,short,64380.42134,65587.31483999999,64878.14863536099,63423.602729278035,1.0,-0.019746281476262097,-0.019746281476262097,sl
206,218,long,65587.31483999999,65084.16928627756,65097.188724022366,66528.22255195526,1.0,-0.008671385159612854,-0.008671385159612854,sl
218,224,long,65417.180819999994,64787.63988,64929.38555851665,66353.52888296668,1.0,-0.010623480133334057,-0.010623480133334057,sl
226,251,long,64970.39148,65776.14964232792,64541.44624808567,65789.30750382868,1.0,0.011401928693564312,0.011401928693564312,tp
251,256,long,65749.44726,66344.33157606107,65425.6484516598,66357.60309668041,1.0,0.008047746267868326,0.008047746267868326,tp
257,261,long,66218.34102,66909.23339723924,65846.34103958831,66922.6179208234,151.6803907929497,1.4308845626821778,0.009433550079887366,tp
261,267,long,66950.8875,67809.44636294225,66494.74451743237,67823.01096513528,242.18300643139375,2.863501987298892,0.011823711454792236,tp
267,274,long,67859.86926,68857.12904857223,67333.99838539097,68870.90322921806,219.13351733976563,3.0012240747747834,0.013695869583115382,tp
280,288,long,68888.37492,69983.91504868647,68312.94268419361,69997.91463161279,1.0,0.014903120518646503,0.014903120518646503,tp
291,293,long,68873.97204,68262.01986678061,68275.67500178097,70029.24999643804,1.0,-0.009885100642431057,-0.009885100642431057,sl
