,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10000.0
37,10000.0
38,10000.0
39,10000.0
40,10000.0
41,10000.0
42,10000.0
43,10000.0
44,10000.0
45,10000.0
46,10000.0
47,10000.0
48,10000.0
49,10000.0
50,10000.0
51,10000.0
52,10000.0
53,10000.0
54,10000.0
55,10000.0
56,10000.0
57,10000.0
58,10000.0
59,10000.0
60,10000.0
61,10000.0
62,10000.0
63,10000.0
64,10000.0
65,10000.0
66,10000.0
67,10000.0
68,10000.0
69,10000.0
70,10000.0
71,10000.0
72,10000.0
73,10000.0
74,10000.0
75,10000.0
76,10000.0
77,10000.0
78,10000.0
79,10000.0
80,10000.0
81,10000.0
82,10000.0
83,10000.0
84,10000.0
85,10000.0
86,10000.0
87,10000.0
88,10000.0
89,10000.0
90,10000.0
91,10000.0
92,10000.0
93,10000.0
94,10000.0
95,10000.0
96,10000.0
97,10000.0
98,10000.0
99,10000.0
100,10000.0
101,10000.0
102,10000.0
103,10000.0
104,10000.0
105,10000.0
106,10000.0
107,9999.999800039992
108,9999.999235923757
109,9999.999690760931
110,10000.000086528342
111,10000.000782074801
112,9999.998407470332
113,10000.002421260722
114,10000.003140435087
115,10000.004556632652
116,10000.003881760611
117,10000.003485993198
118,10000.002921876963
119,10000.003574597844
120,10000.003063644393
121,10000.002316411894
122,10000.001155691052
123,10000.000830807356
124,10000.002037307264
125,10000.001493865444
126,10000.003329458328
127,10000.002712179305
128,10000.00354801645
129,10000.0043705629
130,10000.0046319466
131,10000.0033988653
132,9999.999934423702
133,10000.000427656223
134,9999.997874365721
135,9999.998555144739
136,9999.998422237772
137,9999.999275795846
138,9999.998928760988
139,10000.0006949469
140,10000.001217714302
141,10000.001443656145
142,10000.001297458482
143,10000.001186702677
144,10000.002288353755
145,10000.001551458463
146,10000.00021205159
147,10000.000421749246
148,10000.000903167815
149,10000.001316656155
150,10000.000962237578
151,10000.001313702667
152,10000.002108190978
153,10000.003122714157
154,10000.003327981583
155,10000.00421107454
156,10000.003252667635
157,10000.006873644103
158,10000.00625636508
159,10000.005581493038
160,10000.006126411603
161,10000.006253411593
162,10000.006783562714
163,10000.006579772033
164,10000.00739493476
165,10000.006092446489
166,10000.00489628379
167,10000.004772237287
168,10000.003357516465
169,10000.003041493233
170,10000.003909818748
171,10000.006489690644
172,10000.005693725589
173,10000.007030178975
174,10000.005997934868
175,10000.007210341751
176,10000.007324051046
177,10000.009958562472
178,10000.011351132134
179,10000.010029446188
180,10000.010803260082
181,10000.010128388041
182,10000.01240230012
183,10000.01240230012
184,10000.01240230012
185,10000.01240230012
186,10000.01240230012
187,10000.01240230012
188,10000.01240230012
189,10000.01240230012
190,10000.01240230012
191,10000.01240230012
192,10000.01240230012
193,10000.01240230012
194,10000.01240230012
195,10000.01240230012
196,10000.01240230012
197,10000.01240230012
198,10000.01240230012
199,10000.01240230012
200,10000.01240230012
201,10000.01240230012
202,10000.01240230012
203,10000.01240230012
204,10000.01240230012
205,10000.01240230012
206,10000.01240230012
207,10000.01240230012
208,10000.01240230012
209,10000.01240230012
210,10000.01240230012
211,10000.01240230012
212,10000.01240230012
213,10000.01240230012
214,10000.01240230012
215,10000.01240230012
216,10000.01240230012
217,10000.01240230012
218,10000.01240230012
219,10000.01240230012
220,10000.01240230012
221,10000.01240230012
222,10000.01240230012
223,10000.01240230012
224,10000.01240230012
225,10000.01240230012
226,10000.01240230012
227,10000.01240230012
228,10000.01240230012
229,10000.01240230012
230,10000.01240230012
231,10000.01240230012
232,10000.01240230012
233,10000.01240230012
234,10000.01240230012
235,10000.01240230012
236,10000.01240230012
237,10000.01240230012
238,10000.01240230012
239,10000.01240230012
240,10000.01240230012
241,10000.01240230012
242,10000.01240230012
243,10000.01240230012
244,10000.01240230012
245,10000.01240230012
246,10000.01240230012
247,10000.01240230012
