entry_idx,exit_idx,side,entry_price,exit_price,sl,tp,size_usdc,pnl,pnl_pct,exit_reason
107,182,long,67716.5406,68624.09800023142,67235.58721732776,68637.82556534448,1.0,0.012402300120325761,0.012402300120325761,tp
295,302,short,67357.92572,67563.66420374435,67550.15417290977,67013.89165418046,1.0,-0.004054406464349676,-0.004054406464349676,sl
314,315,short,67125.5722,66706.8514696291,67361.74361646216,66693.51276707568,327.82168278022885,1.7170880281742347,0.005237872045594274,tp
315,316,short,66671.46304,66181.68125889267,66942.9762153106,66168.4475693788,256.8163210223309,1.6298072716275684,0.006346198189973495,tp
316,319,short,65421.4131,64653.40798185555,65831.51005706082,64640.479885878376,193.8035976599932,2.08132541384836,0.01073935385606109,tp
372,380,short,65900.51726,65101.18447117694,66326.4665810953,65088.166837809375,1.0,0.011129385656707607,0.011129385656707607,tp
385,413,short,64768.5437,63746.154834936,65305.54592334733,63733.40815330534,351.96533113062856,5.203901990871831,0.014785268691536135,tp
416,424,short,64177.96184,63179.0022471619,64703.01551331639,63166.36897336723,268.83352297107405,3.915684323169624,0.014565461479262555,tp
425,467,short,63154.16664,63715.37921525272,63702.63868751522,62095.12262496958,206.69922609109716,-2.043509228486966,-0.009886390322459863,sl
508,520,long,65587.31483999999,65084.16930336598,65097.1887411142,66528.22251777159,1.0,-0.008671384899068216,-0.008671384899068216,sl
556,562,long,66028.203,66655.98392098177,65687.84110773067,66669.31778453868,173.51051762783118,1.4761874539559938,0.008507769293399955,tp
562,564,long,66242.2458,66997.8787825165,65837.85948063787,67011.28103872425,131.9632725904509,1.3733570867346927,0.010407116008686126,tp
564,569,long,66830.06334,67723.38422363937,66356.58419501931,67736.93160996136,149.421372927674,1.8479017811634493,0.012367051278921848,tp
569,576,long,67859.86926,68857.12904840356,67333.99838547532,68870.90322904936,219.4612010971517,3.0057119882349594,0.0136958695806298,tp
584,590,long,68639.92524,69728.57992651616,68068.0357838987,69742.5284322026,828.2041303746863,12.307420723118343,0.014860371099031305,tp
